KIC,TIC
9428121,239233962
7187021,158425566
9650048,63129551
10022813,272081325
8978133,268610745
9173014,273868242
3249505,138808493
8644565,273865666
6627944,273230639
7018152,158216365
7351012,158630898
4763818,184296928
10933201,28087442
2304796,351055559
3936728,120572913
9598552,272075446
2445947,137348192
8330417,185058351
9450848,164780640
5877168,137410814
8021752,159046427
8233608,63009882
4078311,184554636
1719557,122783473
7049351,272179681
5286224,138961003
8801774,164554684
11874374,351192887
11237054,298894479
4904624,120354264
2581243,137685547
10718112,405686232
4280299,184166211
12268740,27910938
3727412,120314577
7954646,159220576
11968490,27082324
7547448,272715309
6520975,159653927
1995358,120762150
9827399,159391472
8556201,159385672
8751024,159520804
6705313,271752333
11758683,299219572
7455752,271347372
7756984,275493837
2164379,137546997
5891576,184254190
7673409,158725525
7915993,268485456
8777103,268714101
12251751,399955731
9209184,158492219
2300039,122672447
5035937,169813868
2439420,122507190
7905926,272488257
5966384,138297199
7756779,275493898
5565717,171975321
9012065,158627184
5897325,169462208
9710305,63068292
4847415,138959425
9536371,271881146
5296025,169080892
7678465,159377249
9779100,271547361
7295639,271959223
8115210,273139010
11925551,28083570
3972887,184299804
4851315,184246405
7415853,351765822
9717456,271254473
3554705,138480227
8950831,159580603
3241072,137892700
2297586,122365287
6603713,159574413
8686824,159520901
6785638,270863994
8779847,239236394
4380064,139106814
9649493,63072602
7765081,271957477
6114233,121792891
2995402,137816319
7376659,271958746
9655400,270957637
9405920,63362960
4171064,378085633
2425348,121083477
11954636,405717458
11972326,27766893
7020007,158388492
11037566,27458770
5185528,137155199
11824484,351192582
5556117,169557621
6346132,120319079
6196457,121943724
4950772,170644875
5176879,121733079
5811897,169178984
2995964,137816533
6107499,120687173
7293937,271538840
10190886,164558016
7669030,158219145
7884846,159105933
10361537,268704272
5949731,121602131
5982241,169467856
5949511,121599904
5630306,138725666
8330409,185058245
4371375,138041454
1718059,122515572
5738431,172422300
7836067,272269673
6351570,121219009
5479159,171880397
7047235,271758890
8496536,63209170
5793619,137755586
5477694,171504434
7422215,164463313
5480123,172373708
9701462,158491119
5446681,137090183
9203405,164678322
8866275,164458744
10066002,158624966
8716605,239289594
8263793,184998110
11617717,27396331
6424842,120318728
3660362,139036211
3868527,184243460
5042279,171585437
8499900,270614977
8416900,352012266
8164334,159720269
10015787,270619465
7531486,240183742
9668064,274132891
3744269,122519551
10489389,273875284
8495271,63010615
11017320,48450447
4658673,137896667
8410210,123411236
4386030,184555764
7427957,279915455
7978247,273237794
9823871,158730318
9406790,240179456
8263520,184998085
7019948,158388484
4048116,121867346
4078992,360029215
10096243,268381334
11135574,417658808
3131012,378082589
5121566,169182072
10382943,351770205
2441896,122781956
11517027,27774994
11807906,298968615
6371547,138637629
11667555,27307980
11463411,27642455
10528252,158839875
7104258,158425742
5736668,171974166
10790693,299156940
10733700,26750271
6784170,270706613
7820169,159577598
5352889,121789795
